,time,0.0,1.0,2.0,mean0,std0,mean1,std1,mean2,std2,posX,posY
13644,2023-07-05 17:50:48.457000+02:00,-72.8,-60.36363636363637,-61.41935483870968,-70.12,3.578170260325808,-60.39272727272727,1.5517959730187003,-61.41660110149489,1.8608805757995637,4.5,2.5
13645,2023-07-05 17:50:48.557000+02:00,-72.95238095238095,-59.72727272727273,-61.29032258064516,-70.01177489177489,3.4012033460057247,-60.37818181818182,1.5546106284870602,-61.49411487018096,1.7692425272421055,4.5,2.5
13646,2023-07-05 17:50:48.657000+02:00,-72.9047619047619,-59.09090909090909,-61.16129032258065,-69.91532467532467,3.242625418524565,-60.35636363636364,1.5650429142440052,-61.56465774980331,1.6802777778944842,4.5,2.5
13647,2023-07-05 17:50:48.757000+02:00,-72.85714285714286,-58.45454545454545,-61.03225806451613,-69.83064935064935,3.10372767194241,-60.32727272727273,1.5868924342903403,-61.62822974036192,1.5949742592678056,4.5,2.5
13648,2023-07-05 17:50:48.857000+02:00,-72.80952380952381,-57.81818181818182,-60.903225806451616,-69.75774891774891,2.985526711155552,-60.29090909090909,1.623458253978218,-61.68483084185681,1.5144218497651405,4.5,2.5
13649,2023-07-05 17:50:48.957000+02:00,-72.76190476190476,-57.18181818181818,-60.774193548387096,-69.69662337662338,2.888627971096211,-60.24727272727273,1.677319432033411,-61.73446105428796,1.4398103497334964,4.5,2.5
13650,2023-07-05 17:50:49.057000+02:00,-72.71428571428571,-56.54545454545455,-60.64516129032258,-69.64727272727272,2.813094584109679,-60.19636363636364,1.7501796851871203,-61.777120377655386,1.3724120258065846,4.5,2.5
13651,2023-07-05 17:50:49.157000+02:00,-72.66666666666667,-55.90909090909091,-60.516129032258064,-69.60969696969697,2.758347307525127,-60.13818181818182,1.842831581812456,-61.81280881195909,1.3135409295518825,4.5,2.5
13652,2023-07-05 17:50:49.257000+02:00,-72.61904761904762,-55.27272727272727,-60.38709677419355,-69.58389610389611,2.723119581223389,-60.07272727272727,1.9552495357209143,-61.84152635719906,1.2644820310104297,4.5,2.5
13653,2023-07-05 17:50:49.357000+02:00,-72.57142857142857,-54.63636363636364,-60.25806451612903,-69.56987012987014,2.7054807218678154,-60.0,2.0867738178520305,-61.8632730133753,1.2263883179866009,4.5,2.5
13654,2023-07-05 17:50:49.457000+02:00,-72.52380952380952,-53.90476190476191,-60.12903225806451,-69.56761904761905,2.702922805879592,-59.91238095238096,2.2461119260320976,-61.87804878048781,1.2001546572732489,4.5,2.5
13655,2023-07-05 17:50:49.557000+02:00,-72.47619047619048,-53.80952380952381,-60.81818181818182,-69.58623376623378,2.7199730721348856,-59.817142857142855,2.3998261744357,-61.90221729490023,1.1652025250545262,4.5,2.5
13656,2023-07-05 17:50:49.657000+02:00,-72.42857142857143,-53.71428571428572,-61.63636363636363,-69.612987012987,2.741567668946671,-59.71428571428572,2.547481362901173,-61.93835920177384,1.1269916431757827,4.5,2.5
13657,2023-07-05 17:50:49.757000+02:00,-72.38095238095238,-53.61904761904762,-62.45454545454545,-69.6478787878788,2.7658520171375844,-59.60380952380952,2.6886327259385525,-61.98647450110865,1.095590274742155,4.5,2.5
13658,2023-07-05 17:50:49.857000+02:00,-72.33333333333333,-53.523809523809526,-63.27272727272727,-69.69090909090909,2.7909508515947565,-59.485714285714295,2.822818529815937,-62.04656319290465,1.0817347117481348,4.5,2.5
13659,2023-07-05 17:50:49.957000+02:00,-72.28571428571429,-53.42857142857143,-64.0909090909091,-69.74207792207791,2.8149807168137806,-59.36,2.949553576645399,-62.11862527716186,1.0956996163165102,4.5,2.5
13660,2023-07-05 17:50:50.057000+02:00,-72.23809523809524,-53.333333333333336,-64.9090909090909,-69.80138528138528,2.83604945709751,-59.22666666666667,3.068322918228552,-62.20266075388027,1.145257607056873,4.5,2.5
13661,2023-07-05 17:50:50.157000+02:00,-72.19047619047619,-53.23809523809524,-65.72727272727273,-69.86883116883116,2.8522431865550297,-59.085714285714296,3.1785752751395178,-62.298669623059865,1.2339036509772554,4.5,2.5
13662,2023-07-05 17:50:50.257000+02:00,-72.14285714285714,-53.142857142857146,-66.54545454545455,-69.94441558441558,2.8616008118128464,-58.93714285714285,3.279715731891857,-62.406651884700665,1.3607298935959382,4.5,2.5
13663,2023-07-05 17:50:50.357000+02:00,-72.0952380952381,-53.04761904761905,-67.36363636363636,-70.02813852813853,2.8620750837853635,-58.78095238095239,3.3710972787568303,-62.526607538802665,1.52192595861773,4.5,2.5
13664,2023-07-05 17:50:50.457000+02:00,-72.04761904761905,-52.95238095238095,-68.18181818181819,-70.12,2.8514772728288524,-58.61714285714285,3.4520107097415798,-62.65853658536585,1.7126294403210325,4.5,2.5
13665,2023-07-05 17:50:50.557000+02:00,-71.63636363636364,-52.85714285714285,-69.0,-70.21636363636364,2.818844267030466,-58.445714285714295,3.521672262506888,-62.80243902439024,1.928158210425029,4.5,2.5
