index,time,0,distance,posX,posY
173,2023-07-14 15:27:57.112000+02:00,-80,4.0,4.0,0.0
174,2023-07-14 15:27:59.116000+02:00,-75,4.0,4.0,0.0
175,2023-07-14 15:28:00.118000+02:00,-75,4.0,4.0,0.0
176,2023-07-14 15:28:01.121000+02:00,-76,4.0,4.0,0.0
177,2023-07-14 15:28:02.124000+02:00,-69,4.0,4.0,0.0
178,2023-07-14 15:28:03.127000+02:00,-77,4.0,4.0,0.0
179,2023-07-14 15:28:04.129000+02:00,-68,4.0,4.0,0.0
180,2023-07-14 15:28:06.133000+02:00,-67,4.0,4.0,0.0
181,2023-07-14 15:28:07.135000+02:00,-70,4.0,4.0,0.0
182,2023-07-14 15:28:08.138000+02:00,-71,4.0,4.0,0.0
183,2023-07-14 15:28:09.140000+02:00,-70,4.0,4.0,0.0
184,2023-07-14 15:28:10.141000+02:00,-73,4.0,4.0,0.0
185,2023-07-14 15:28:11.144000+02:00,-66,4.0,4.0,0.0
186,2023-07-14 15:28:12.146000+02:00,-72,4.0,4.0,0.0
187,2023-07-14 15:28:13.149000+02:00,-77,4.0,4.0,0.0
188,2023-07-14 15:28:14.151000+02:00,-66,4.0,4.0,0.0
189,2023-07-14 15:28:15.152000+02:00,-68,4.0,4.0,0.0
190,2023-07-14 15:28:16.155000+02:00,-67,4.0,4.0,0.0
191,2023-07-14 15:28:17.157000+02:00,-72,4.0,4.0,0.0
192,2023-07-14 15:28:18.160000+02:00,-73,4.0,4.0,0.0
193,2023-07-14 15:28:19.162000+02:00,-68,4.0,4.0,0.0
194,2023-07-14 15:28:20.164000+02:00,-76,4.0,4.0,0.0
195,2023-07-14 15:28:21.167000+02:00,-67,4.0,4.0,0.0
196,2023-07-14 15:28:22.171000+02:00,-70,4.0,4.0,0.0
197,2023-07-14 15:28:23.173000+02:00,-66,4.0,4.0,0.0
198,2023-07-14 15:28:24.175000+02:00,-73,4.5,4.5,0.0
199,2023-07-14 15:28:25.177000+02:00,-74,4.5,4.5,0.0
200,2023-07-14 15:28:26.179000+02:00,-69,4.5,4.5,0.0
201,2023-07-14 15:28:27.181000+02:00,-83,4.5,4.5,0.0
202,2023-07-14 15:28:28.184000+02:00,-74,4.5,4.5,0.0
203,2023-07-14 15:28:29.186000+02:00,-75,4.5,4.5,0.0
204,2023-07-14 15:28:31.190000+02:00,-63,4.5,4.5,0.0
205,2023-07-14 15:28:32.193000+02:00,-71,4.5,4.5,0.0
206,2023-07-14 15:28:33.196000+02:00,-68,4.5,4.5,0.0
207,2023-07-14 15:28:35.201000+02:00,-71,4.5,4.5,0.0
208,2023-07-14 15:28:36.203000+02:00,-80,4.5,4.5,0.0
209,2023-07-14 15:28:37.206000+02:00,-67,4.5,4.5,0.0
210,2023-07-14 15:28:38.209000+02:00,-70,4.5,4.5,0.0
211,2023-07-14 15:28:40.212000+02:00,-74,4.5,4.5,0.0
212,2023-07-14 15:28:41.214000+02:00,-74,4.5,4.5,0.0
213,2023-07-14 15:28:42.217000+02:00,-67,4.5,4.5,0.0
214,2023-07-14 15:28:43.220000+02:00,-76,4.5,4.5,0.0
215,2023-07-14 15:28:45.223000+02:00,-75,4.5,4.5,0.0
216,2023-07-14 15:28:46.226000+02:00,-77,4.5,4.5,0.0
217,2023-07-14 15:28:48.231000+02:00,-72,4.5,4.5,0.0
218,2023-07-14 15:28:49.234000+02:00,-70,4.5,4.5,0.0
219,2023-07-14 15:28:51.238000+02:00,-76,4.5,4.5,0.0
220,2023-07-14 15:28:52.240000+02:00,-67,4.5,4.5,0.0
221,2023-07-14 15:28:53.242000+02:00,-70,4.5,4.5,0.0
222,2023-07-14 15:28:54.243000+02:00,-70,5.0,5.0,0.0
223,2023-07-14 15:28:55.246000+02:00,-68,5.0,5.0,0.0
224,2023-07-14 15:28:56.248000+02:00,-75,5.0,5.0,0.0
225,2023-07-14 15:28:57.250000+02:00,-72,5.0,5.0,0.0
226,2023-07-14 15:28:58.251000+02:00,-76,5.0,5.0,0.0
227,2023-07-14 15:28:59.253000+02:00,-70,5.0,5.0,0.0
228,2023-07-14 15:29:01.258000+02:00,-77,5.0,5.0,0.0
229,2023-07-14 15:29:02.260000+02:00,-74,5.0,5.0,0.0
230,2023-07-14 15:29:03.263000+02:00,-73,5.0,5.0,0.0
231,2023-07-14 15:29:05.267000+02:00,-71,5.0,5.0,0.0
232,2023-07-14 15:29:06.269000+02:00,-68,5.0,5.0,0.0
233,2023-07-14 15:29:07.273000+02:00,-80,5.0,5.0,0.0
234,2023-07-14 15:29:08.276000+02:00,-73,5.0,5.0,0.0
235,2023-07-14 15:29:09.278000+02:00,-77,5.0,5.0,0.0
236,2023-07-14 15:29:10.280000+02:00,-71,5.0,5.0,0.0
237,2023-07-14 15:29:13.286000+02:00,-73,5.0,5.0,0.0
238,2023-07-14 15:29:14.288000+02:00,-66,5.0,5.0,0.0
239,2023-07-14 15:29:15.289000+02:00,-77,5.0,5.0,0.0
240,2023-07-14 15:29:16.290000+02:00,-74,5.0,5.0,0.0
241,2023-07-14 15:29:17.293000+02:00,-80,5.0,5.0,0.0
242,2023-07-14 15:29:18.295000+02:00,-70,5.0,5.0,0.0
243,2023-07-14 15:29:19.297000+02:00,-73,5.0,5.0,0.0
244,2023-07-14 15:29:20.298000+02:00,-69,5.0,5.0,0.0
245,2023-07-14 15:29:21.301000+02:00,-71,5.0,5.0,0.0
246,2023-07-14 15:29:22.303000+02:00,-69,5.0,5.0,0.0
247,2023-07-14 15:29:23.305000+02:00,-75,5.0,5.0,0.0
248,2023-07-14 15:29:24.306000+02:00,-79,5.5,5.5,0.0
249,2023-07-14 15:29:26.309000+02:00,-69,5.5,5.5,0.0
250,2023-07-14 15:29:27.312000+02:00,-73,5.5,5.5,0.0
251,2023-07-14 15:29:28.313000+02:00,-76,5.5,5.5,0.0
252,2023-07-14 15:29:29.316000+02:00,-77,5.5,5.5,0.0
253,2023-07-14 15:29:30.317000+02:00,-72,5.5,5.5,0.0
254,2023-07-14 15:29:31.319000+02:00,-71,5.5,5.5,0.0
255,2023-07-14 15:29:32.321000+02:00,-80,5.5,5.5,0.0
256,2023-07-14 15:29:33.324000+02:00,-72,5.5,5.5,0.0
257,2023-07-14 15:29:34.325000+02:00,-74,5.5,5.5,0.0
258,2023-07-14 15:29:35.327000+02:00,-72,5.5,5.5,0.0
259,2023-07-14 15:29:37.330000+02:00,-72,5.5,5.5,0.0
260,2023-07-14 15:29:38.334000+02:00,-74,5.5,5.5,0.0
261,2023-07-14 15:29:39.336000+02:00,-76,5.5,5.5,0.0
262,2023-07-14 15:29:40.337000+02:00,-82,5.5,5.5,0.0
263,2023-07-14 15:29:42.341000+02:00,-71,5.5,5.5,0.0
264,2023-07-14 15:29:44.347000+02:00,-76,5.5,5.5,0.0
265,2023-07-14 15:29:45.349000+02:00,-68,5.5,5.5,0.0
266,2023-07-14 15:29:46.352000+02:00,-75,5.5,5.5,0.0
267,2023-07-14 15:29:47.353000+02:00,-75,5.5,5.5,0.0
268,2023-07-14 15:29:48.356000+02:00,-74,5.5,5.5,0.0
269,2023-07-14 15:29:49.359000+02:00,-77,5.5,5.5,0.0
270,2023-07-14 15:29:50.361000+02:00,-77,5.5,5.5,0.0
271,2023-07-14 15:29:51.363000+02:00,-70,5.5,5.5,0.0
272,2023-07-14 15:29:52.365000+02:00,-73,5.5,5.5,0.0
273,2023-07-14 15:29:53.368000+02:00,-67,5.5,5.5,0.0
274,2023-07-14 15:29:54.369000+02:00,-78,6.0,6.0,0.0
275,2023-07-14 15:29:56.373000+02:00,-84,6.0,6.0,0.0
276,2023-07-14 15:29:57.375000+02:00,-73,6.0,6.0,0.0
277,2023-07-14 15:29:58.377000+02:00,-74,6.0,6.0,0.0
278,2023-07-14 15:29:59.379000+02:00,-75,6.0,6.0,0.0
279,2023-07-14 15:30:00.381000+02:00,-73,6.0,6.0,0.0
280,2023-07-14 15:30:02.385000+02:00,-73,6.0,6.0,0.0
281,2023-07-14 15:30:03.388000+02:00,-81,6.0,6.0,0.0
282,2023-07-14 15:30:04.391000+02:00,-75,6.0,6.0,0.0
283,2023-07-14 15:30:05.394000+02:00,-79,6.0,6.0,0.0
284,2023-07-14 15:30:06.397000+02:00,-77,6.0,6.0,0.0
285,2023-07-14 15:30:07.398000+02:00,-78,6.0,6.0,0.0
286,2023-07-14 15:30:09.402000+02:00,-78,6.0,6.0,0.0
287,2023-07-14 15:30:10.403000+02:00,-78,6.0,6.0,0.0
288,2023-07-14 15:30:11.406000+02:00,-74,6.0,6.0,0.0
289,2023-07-14 15:30:12.408000+02:00,-71,6.0,6.0,0.0
290,2023-07-14 15:30:13.409000+02:00,-78,6.0,6.0,0.0
